,artist,song_name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2830,Carla Monroe,Gotta Be You - jaakob Remix,79UZHQqDGNIHYUyxfV6WzQ,0.574,0.917,11.0,-6.4,0.0,0.0723,0.178,0.142,0.433,0.154,123.974
2831,Carla Monroe,Still Sleepless - Extended Mix,4mlQCvqodM6MdRU8uUM8NB,0.773,0.517,6.0,-6.024,0.0,0.0869,0.00356,0.65,0.0416,0.718,125.994
2832,Carla Monroe,Apple Juice (feat. Carla Monroe) - Denis First Remix,7hkuR1TzxtmEWP7ktPE2Tz,0.79,0.939,7.0,-4.438,1.0,0.141,0.0235,0.0546,0.867,0.851,124.001
2833,Charlie Rich,The Most Beautiful Girl,542C7PqR1oEfl63hlhQO4V,0.576,0.318,7.0,-14.366,1.0,0.0286,0.661,7.47e-06,0.167,0.41,103.493
2834,Charlie Rich,Behind Closed Doors,6d7Jz2np6jtNaZv1DiWfJs,0.492,0.329,2.0,-11.788,1.0,0.0274,0.961,0.199,0.0955,0.589,85.196
2835,Charlie Rich,Rollin' With The Flow,6lMNJzDA47MaCZjjKgam5N,0.631,0.605,2.0,-11.421,1.0,0.0241,0.534,3.34e-05,0.0871,0.815,94.906
2836,Charlie Rich,There Won't Be Anymore,0sqtsn6hNsudGWZE2K2Y2o,0.537,0.331,5.0,-11.453,1.0,0.0272,0.869,7.09e-05,0.105,0.63,103.624
2837,Charlie Rich,Have A Heart,3krDSP5K5hAKEIOXuxXXH2,0.268,0.345,0.0,-12.255,1.0,0.0279,0.799,0.00569,0.106,0.358,163.271
2838,Charlie Rich,Life Has Its Little Ups And Downs,0wmk0GFmNaox46CP2h5CGR,0.4,0.326,10.0,-12.059,1.0,0.0314,0.596,0.0,0.116,0.211,69.55
2839,Charlie Rich,Mohair Sam,5xiWenMGQxYG9m8qHoVZ37,0.803,0.634,10.0,-9.316,1.0,0.0344,0.743,1.44e-05,0.089,0.936,116.738
2840,Charlie Rich,Big Boss Man,7eOGMNm7MBXBg1m02WFYuj,0.548,0.767,3.0,-10.92,1.0,0.0552,0.491,0.0,0.0896,0.85,105.684
2841,Charlie Rich,Feel Like Going Home,4WmWI54lg9os0rSsuNYgtm,0.486,0.232,5.0,-13.521,1.0,0.0308,0.501,0.000644,0.0497,0.236,128.85
2842,Charlie Rich,Spanish Eyes,7lvhmZt8NozfUbcr4lCZ0G,0.462,0.377,11.0,-13.471,1.0,0.0291,0.803,0.00612,0.16,0.397,107.358
2843,Spor,You Are the Right One,2qpacEyFxmbxCpIEqZkqvC,0.659,0.594,4.0,-8.494,0.0,0.0261,0.162,0.846,0.632,0.851,100.033
2844,Spor,Baby Baby,5zdOAL1xFVSbSCKxBbuKxh,0.772,0.681,11.0,-5.22,1.0,0.0346,0.162,0.785,0.0404,0.83,153.006
2845,Spor,Panama,6keyBQK6pA0OApRfM1f0dp,0.615,0.724,5.0,-8.583,1.0,0.0306,0.298,0.459,0.211,0.45,97.725
2846,Spor,Ordinary Man,5KHm55YvAOhac2Uh0Iuc9o,0.755,0.703,4.0,-6.62,1.0,0.0915,0.0179,0.683,0.103,0.599,102.022
2847,Spor,Whatever You Want,60aWYX41VR8Nd4FgtbJKhA,0.722,0.378,2.0,-11.028,1.0,0.0974,0.378,0.000265,0.365,0.497,168.629
2848,Spor,Shiggy,0Ed6Nry1j8FA1Ob4l7c2Wb,0.554,0.674,5.0,-6.403,0.0,0.109,0.488,0.000223,0.149,0.718,79.98
2849,Spor,Can't Be What You Think,42c4zQXbM14DbksotK3Cq7,0.734,0.641,5.0,-5.433,0.0,0.0546,0.254,0.768,0.115,0.756,175.968
2850,Spor,The Look,6cGdaUtU9aPow49qHXOqMt,0.818,0.867,10.0,-4.864,0.0,0.0756,0.0725,0.842,0.0613,0.921,117.003
2851,Spor,Someone You'd Rather Be Dating,0BOEQSwb5TocHUSM5w9j6a,0.713,0.534,1.0,-9.304,0.0,0.0293,0.304,0.0151,0.502,0.723,112.099
