,artist
950,Regard
951,Gemitaiz
952,Ludacris
953,Brett Eldredge
954,Burna Boy
955,Cole Swindell
956,Río Roma
957,The Temptations
958,Lindsey Stirling
959,Ultimo
960,Ben&Ben
961,Banda Los Recoditos
962,Micro TDH
963,Matuê
964,Grateful Dead
965,Tyler Childers
966,Kungs
967,Darius Rucker
968,Stone Sour
969,EDEN
970,Eros Ramazzotti
971,A Great Big World
972,Two Feet
973,La Adictiva Banda San José de Mesillas
974,beabadoobee
975,Icona Pop
976,Empire of the Sun
977,BIGBANG
978,Moby
979,MadeinTYO
980,Famous Dex
981,Tom Petty and the Heartbreakers
982,Ella Eyre
983,ONE OK ROCK
984,GoldLink
985,LMFAO
986,RIN
987,Duran Duran
988,Gym Class Heroes
989,M.I.A.
990,Junior H
991,No Doubt
992,Deep Purple
993,Disciples
994,Matchbox Twenty
995,KSHMR
996,Fat Joe
997,Phoenix
998,KC Rebell
999,Roy Woods
